image_name, bbox_x, bbox_y, bbox_width, bbox_height, Gender, Smile
im_GenFex_00001.jpg,80,91,99,112,0,1
im_GenFex_00002.jpg,374,426,466,531,1,1
im_GenFex_00003.jpg,43,44,52,54,0,1
im_GenFex_00004.jpg,94,161,116,200,1,1
im_GenFex_00005.jpg,199,215,247,267,1,1
im_GenFex_00006.jpg,123,124,152,154,1,1
im_GenFex_00007.jpg,45,59,55,72,1,1
im_GenFex_00008.jpg,103,113,128,140,1,1
im_GenFex_00009.jpg,75,89,92,110,0,1
im_GenFex_00010.jpg,367,315,457,393,1,1
im_GenFex_00011.jpg,215,295,268,367,0,1
im_GenFex_00012.jpg,337,397,420,495,1,1
im_GenFex_00013.jpg,70,84,86,104,0,1
im_GenFex_00014.jpg,48,59,59,72,1,1
im_GenFex_00015.jpg,340,431,424,538,1,1
im_GenFex_00016.jpg,55,59,68,73,1,1
im_GenFex_00017.jpg,107,131,132,162,1,1
im_GenFex_00018.jpg,129,131,160,163,1,1
im_GenFex_00019.jpg,240,259,299,323,0,1
im_GenFex_00020.jpg,60,77,74,95,1,1
im_GenFex_00021.jpg,90,113,111,140,1,1
im_GenFex_00022.jpg,71,81,87,100,1,1
im_GenFex_00023.jpg,27,63,33,77,0,1
im_GenFex_00024.jpg,394,495,491,617,1,1
im_GenFex_00025.jpg,175,161,217,200,1,1
im_GenFex_00026.jpg,289,327,360,408,1,1
im_GenFex_00027.jpg,87,73,107,90,0,1
im_GenFex_00028.jpg,105,116,130,144,0,1
im_GenFex_00029.jpg,37,54,45,66,0,1
im_GenFex_00030.jpg,255,319,317,398,1,1
im_GenFex_00031.jpg,79,113,98,140,1,1
im_GenFex_00032.jpg,64,112,79,139,0,1
im_GenFex_00033.jpg,251,331,313,413,1,1
im_GenFex_00034.jpg,142,178,176,221,0,1
im_GenFex_00035.jpg,31,38,37,46,0,1
im_GenFex_00036.jpg,107,136,132,169,1,1
im_GenFex_00037.jpg,73,104,90,129,0,1
im_GenFex_00038.jpg,166,227,206,282,0,1
im_GenFex_00039.jpg,187,241,233,300,0,1
im_GenFex_00040.jpg,75,103,93,127,0,1
im_GenFex_00041.jpg,42,53,51,65,0,1
im_GenFex_00042.jpg,299,297,372,370,1,1
im_GenFex_00043.jpg,54,70,66,86,0,1
im_GenFex_00044.jpg,51,54,62,66,1,1
im_GenFex_00045.jpg,53,67,65,83,0,1
im_GenFex_00046.jpg,118,161,146,200,0,1
im_GenFex_00047.jpg,42,51,51,62,1,1
im_GenFex_00048.jpg,180,221,224,275,1,1
im_GenFex_00049.jpg,58,82,71,101,0,1
im_GenFex_00050.jpg,67,66,83,81,1,1
im_GenFex_00051.jpg,121,143,150,177,1,1
im_GenFex_00052.jpg,76,107,94,132,0,1
im_GenFex_00053.jpg,164,324,204,404,0,1
im_GenFex_00054.jpg,135,210,167,261,1,1
im_GenFex_00055.jpg,68,88,84,109,0,1
im_GenFex_00056.jpg,273,359,340,448,0,1
im_GenFex_00057.jpg,27,40,33,49,1,1
im_GenFex_00058.jpg,124,113,154,140,1,1
im_GenFex_00059.jpg,147,158,182,196,0,1
im_GenFex_00060.jpg,267,488,332,609,0,1
im_GenFex_00061.jpg,248,236,309,294,1,1
im_GenFex_00062.jpg,43,52,53,64,0,1
im_GenFex_00063.jpg,161,177,200,220,0,1
im_GenFex_00064.jpg,55,72,67,89,1,1
im_GenFex_00065.jpg,150,222,186,276,0,1
im_GenFex_00066.jpg,281,315,350,392,0,1
im_GenFex_00067.jpg,109,155,135,192,1,1
im_GenFex_00068.jpg,87,105,108,130,0,1
im_GenFex_00069.jpg,119,133,148,165,0,1
im_GenFex_00070.jpg,114,145,141,180,0,1
im_GenFex_00071.jpg,48,59,59,72,1,1
im_GenFex_00072.jpg,279,365,348,455,1,1
im_GenFex_00073.jpg,225,332,280,414,0,1
im_GenFex_00074.jpg,124,165,154,205,0,1
im_GenFex_00075.jpg,55,47,67,58,1,1
im_GenFex_00076.jpg,34,52,41,64,1,1
im_GenFex_00077.jpg,159,186,197,231,1,1
im_GenFex_00078.jpg,86,111,106,137,0,1
im_GenFex_00079.jpg,53,56,65,69,1,1
im_GenFex_00080.jpg,39,45,47,55,1,1
im_GenFex_00081.jpg,30,39,36,47,1,1
im_GenFex_00082.jpg,123,162,152,201,0,1
im_GenFex_00083.jpg,86,97,106,120,0,1
im_GenFex_00084.jpg,186,243,231,303,1,1
im_GenFex_00085.jpg,39,47,48,57,1,1
im_GenFex_00086.jpg,179,229,222,285,1,1
im_GenFex_00087.jpg,78,96,96,119,1,1
im_GenFex_00088.jpg,65,71,80,87,1,1
im_GenFex_00089.jpg,40,53,49,65,0,1
im_GenFex_00090.jpg,65,103,80,127,0,1
im_GenFex_00091.jpg,48,54,59,66,1,1
im_GenFex_00092.jpg,65,117,80,145,0,1
im_GenFex_00093.jpg,80,78,99,96,1,1
im_GenFex_00094.jpg,80,80,99,99,1,1
im_GenFex_00095.jpg,199,265,248,330,1,1
im_GenFex_00096.jpg,30,35,36,43,1,1
im_GenFex_00097.jpg,155,180,193,224,1,1
im_GenFex_00098.jpg,65,79,80,97,0,1
im_GenFex_00099.jpg,162,178,201,221,0,1
im_GenFex_00100.jpg,63,70,78,86,1,1
im_GenFex_00101.jpg,197,271,245,338,0,1
im_GenFex_00102.jpg,55,56,67,69,1,1
im_GenFex_00103.jpg,230,323,286,402,0,1
im_GenFex_00104.jpg,67,101,83,125,1,1
im_GenFex_00105.jpg,232,267,289,333,0,1
im_GenFex_00106.jpg,157,255,195,317,0,1
im_GenFex_00107.jpg,55,67,67,83,1,1
im_GenFex_00108.jpg,98,117,121,145,1,1
im_GenFex_00109.jpg,77,91,95,112,0,1
im_GenFex_00110.jpg,205,221,255,275,1,1
im_GenFex_00111.jpg,304,346,379,431,0,1
im_GenFex_00112.jpg,81,102,100,126,0,1
im_GenFex_00113.jpg,36,39,44,48,1,1
im_GenFex_00114.jpg,50,59,61,72,1,1
im_GenFex_00115.jpg,167,209,207,260,1,1
im_GenFex_00116.jpg,43,49,52,60,1,1
im_GenFex_00117.jpg,252,252,314,314,1,1
im_GenFex_00118.jpg,49,63,60,77,0,1
im_GenFex_00119.jpg,363,447,452,557,0,1
im_GenFex_00120.jpg,190,223,236,278,0,1
im_GenFex_00121.jpg,30,39,36,48,0,1
im_GenFex_00122.jpg,434,429,541,535,1,1
im_GenFex_00123.jpg,124,151,154,188,1,1
im_GenFex_00124.jpg,217,247,270,307,1,1
im_GenFex_00125.jpg,56,53,69,65,0,1
im_GenFex_00126.jpg,34,59,41,72,1,1
im_GenFex_00127.jpg,75,80,93,99,0,1
im_GenFex_00129.jpg,313,419,390,522,0,1
im_GenFex_00130.jpg,39,74,48,91,1,1
im_GenFex_00131.jpg,87,81,107,100,1,1
im_GenFex_00132.jpg,46,42,56,51,0,1
im_GenFex_00133.jpg,42,62,51,76,0,1
im_GenFex_00134.jpg,49,50,60,61,1,1
im_GenFex_00135.jpg,55,52,67,64,1,1
im_GenFex_00136.jpg,323,339,403,423,0,1
im_GenFex_00137.jpg,251,286,312,356,0,1
im_GenFex_00138.jpg,217,282,270,351,1,1
im_GenFex_00139.jpg,160,169,199,210,1,1
im_GenFex_00140.jpg,87,55,107,67,1,1
im_GenFex_00141.jpg,91,93,113,115,1,1
im_GenFex_00142.jpg,382,434,476,541,1,1
im_GenFex_00143.jpg,47,76,58,94,0,1
im_GenFex_00144.jpg,52,62,64,76,0,1
im_GenFex_00145.jpg,63,99,77,123,0,1
im_GenFex_00146.jpg,59,68,73,84,1,1
im_GenFex_00147.jpg,55,76,68,94,1,1
im_GenFex_00148.jpg,36,45,44,55,1,1
im_GenFex_00149.jpg,28,38,34,46,1,1
im_GenFex_00150.jpg,207,296,258,369,1,1
im_GenFex_00151.jpg,52,63,64,77,0,1
im_GenFex_00152.jpg,51,57,63,70,1,1
im_GenFex_00153.jpg,54,76,66,94,1,1
im_GenFex_00155.jpg,159,173,197,215,0,1
im_GenFex_00156.jpg,68,101,84,125,0,1
im_GenFex_00157.jpg,80,115,99,142,1,1
im_GenFex_00158.jpg,60,63,74,77,0,1
im_GenFex_00159.jpg,116,85,144,105,1,1
im_GenFex_00160.jpg,39,43,48,52,1,1
im_GenFex_00161.jpg,147,203,182,253,0,1
im_GenFex_00162.jpg,42,56,51,69,1,1
im_GenFex_00163.jpg,52,66,64,81,1,1
im_GenFex_00164.jpg,135,171,167,212,0,1
im_GenFex_00165.jpg,75,68,93,84,0,1
im_GenFex_00166.jpg,35,38,42,46,1,1
im_GenFex_00167.jpg,65,91,80,112,0,1
im_GenFex_00168.jpg,117,133,145,165,1,1
im_GenFex_00169.jpg,67,53,82,65,0,1
im_GenFex_00170.jpg,114,110,141,136,1,1
im_GenFex_00171.jpg,242,278,301,346,0,1
im_GenFex_00172.jpg,107,136,133,169,1,1
im_GenFex_00173.jpg,263,288,327,359,1,1
im_GenFex_00174.jpg,206,251,256,312,1,1
im_GenFex_00175.jpg,65,86,80,106,1,1
im_GenFex_00176.jpg,49,53,60,65,0,1
im_GenFex_00177.jpg,75,131,93,162,1,1
im_GenFex_00178.jpg,223,306,278,381,1,1
im_GenFex_00179.jpg,95,140,118,174,0,1
im_GenFex_00180.jpg,63,75,78,93,0,1
im_GenFex_00181.jpg,23,29,28,35,1,1
im_GenFex_00182.jpg,68,75,84,93,1,1
im_GenFex_00183.jpg,214,305,266,380,0,1
im_GenFex_00184.jpg,62,63,76,77,0,1
im_GenFex_00185.jpg,123,205,153,255,1,1
im_GenFex_00186.jpg,256,267,319,332,1,1
im_GenFex_00187.jpg,35,38,43,46,0,1
im_GenFex_00188.jpg,96,112,119,139,1,1
im_GenFex_00189.jpg,242,325,301,405,0,1
im_GenFex_00190.jpg,298,654,371,816,1,1
im_GenFex_00191.jpg,22,29,26,35,1,1
im_GenFex_00192.jpg,54,60,66,74,0,1
im_GenFex_00193.jpg,39,55,47,67,1,1
im_GenFex_00194.jpg,81,99,100,122,1,1
im_GenFex_00195.jpg,92,97,114,120,0,1
im_GenFex_00196.jpg,31,44,37,54,0,1
im_GenFex_00197.jpg,212,191,264,238,1,1
im_GenFex_00198.jpg,107,149,133,185,1,1
im_GenFex_00199.jpg,235,272,293,339,1,1
im_GenFex_00200.jpg,172,207,214,258,0,1
im_GenFex_00201.jpg,132,186,164,231,0,1
im_GenFex_00202.jpg,108,128,134,159,1,1
im_GenFex_00203.jpg,110,121,136,150,0,1
im_GenFex_00204.jpg,51,44,62,54,1,1
im_GenFex_00205.jpg,178,259,221,322,0,1
im_GenFex_00206.jpg,70,103,86,128,1,1
im_GenFex_00207.jpg,139,168,172,209,0,1
im_GenFex_00208.jpg,299,423,373,527,0,1
im_GenFex_00209.jpg,117,162,145,201,0,1
im_GenFex_00210.jpg,339,357,423,445,1,1
im_GenFex_00211.jpg,58,89,71,110,0,1
im_GenFex_00212.jpg,92,145,114,180,1,1
im_GenFex_00213.jpg,68,156,84,194,1,1
im_GenFex_00214.jpg,451,485,562,605,1,1
im_GenFex_00215.jpg,92,114,114,141,1,1
im_GenFex_00216.jpg,66,76,81,94,0,1
im_GenFex_00217.jpg,42,59,51,72,0,1
im_GenFex_00219.jpg,451,483,562,602,0,1
im_GenFex_00220.jpg,112,123,139,152,1,1
im_GenFex_00221.jpg,303,533,377,665,0,1
im_GenFex_00222.jpg,212,247,264,308,0,1
im_GenFex_00223.jpg,159,193,198,240,0,1
im_GenFex_00224.jpg,127,113,157,140,0,1
im_GenFex_00225.jpg,45,47,55,57,0,1
im_GenFex_00226.jpg,295,427,367,532,0,1
im_GenFex_00227.jpg,63,81,78,100,0,1
im_GenFex_00228.jpg,46,91,56,113,1,1
im_GenFex_00229.jpg,53,66,65,81,0,1
im_GenFex_00230.jpg,48,62,59,76,0,1
im_GenFex_00231.jpg,69,94,85,116,1,1
im_GenFex_00232.jpg,61,62,75,76,0,1
im_GenFex_00233.jpg,28,44,34,54,1,1
im_GenFex_00234.jpg,47,36,57,44,1,1
im_GenFex_00235.jpg,47,50,57,61,0,1
im_GenFex_00236.jpg,70,105,86,130,1,1
im_GenFex_00237.jpg,81,119,100,147,1,1
im_GenFex_00238.jpg,80,93,99,115,1,1
im_GenFex_00239.jpg,144,168,179,209,1,1
im_GenFex_00240.jpg,291,336,362,419,0,1
im_GenFex_00241.jpg,218,311,271,388,1,1
im_GenFex_00242.jpg,125,106,155,131,1,1
im_GenFex_00243.jpg,234,318,291,396,0,1
im_GenFex_00244.jpg,254,339,316,423,0,1
im_GenFex_00245.jpg,122,183,151,228,1,1
im_GenFex_00246.jpg,41,51,50,62,0,1
im_GenFex_00247.jpg,86,80,106,99,0,1
im_GenFex_00248.jpg,37,47,45,58,1,1
im_GenFex_00249.jpg,176,290,219,361,1,1
im_GenFex_00250.jpg,61,71,75,88,1,1
im_GenFex_00251.jpg,162,250,201,311,0,1
im_GenFex_00252.jpg,45,63,55,77,1,1
im_GenFex_00253.jpg,83,107,102,133,0,1
im_GenFex_00254.jpg,118,156,146,194,0,1
im_GenFex_00255.jpg,58,75,71,92,0,1
im_GenFex_00256.jpg,28,36,34,44,0,1
im_GenFex_00257.jpg,137,193,170,240,1,1
im_GenFex_00258.jpg,262,241,326,300,0,1
im_GenFex_00259.jpg,22,31,26,38,0,1
im_GenFex_00260.jpg,39,49,47,60,1,1
im_GenFex_00261.jpg,64,65,79,80,1,1
im_GenFex_00262.jpg,241,368,300,459,1,1
im_GenFex_00263.jpg,139,188,172,234,1,1
im_GenFex_00264.jpg,165,182,205,226,1,1
im_GenFex_00265.jpg,110,133,136,165,1,1
im_GenFex_00266.jpg,88,100,109,124,0,1
im_GenFex_00267.jpg,56,62,69,76,1,1
im_GenFex_00268.jpg,103,147,128,183,0,1
im_GenFex_00269.jpg,61,59,75,73,0,1
im_GenFex_00270.jpg,292,348,364,434,1,1
im_GenFex_00271.jpg,93,107,115,133,1,1
im_GenFex_00272.jpg,83,113,102,140,1,1
im_GenFex_00273.jpg,55,73,68,90,1,1
im_GenFex_00274.jpg,79,79,98,98,0,1
im_GenFex_00275.jpg,64,74,79,91,1,1
im_GenFex_00276.jpg,255,335,317,418,0,1
im_GenFex_00277.jpg,105,156,130,194,1,1
im_GenFex_00278.jpg,252,492,314,614,1,1
