image_name, bbox_x, bbox_y, bbox_width, bbox_height, Gender, Smile
im_GenFex_06172.jpg,28,29,34,35,1,1
im_GenFex_06173.jpg,271,315,338,393,1,1
im_GenFex_06174.jpg,81,126,100,156,0,1
im_GenFex_06175.jpg,52,72,64,89,0,1
im_GenFex_06176.jpg,52,67,64,83,0,1
im_GenFex_06177.jpg,52,73,64,90,1,1
im_GenFex_06178.jpg,52,71,64,88,1,1
im_GenFex_06179.jpg,69,91,85,112,0,1
im_GenFex_06180.jpg,51,73,63,90,0,1
im_GenFex_06181.jpg,81,94,100,116,0,1
im_GenFex_06182.jpg,83,78,103,96,1,1
im_GenFex_06183.jpg,47,49,57,60,0,1
im_GenFex_06184.jpg,175,201,217,250,0,1
im_GenFex_06185.jpg,124,122,154,151,1,1
im_GenFex_06186.jpg,176,235,219,293,0,1
im_GenFex_06187.jpg,66,101,81,125,0,1
im_GenFex_06188.jpg,32,44,39,54,1,1
im_GenFex_06189.jpg,73,91,90,112,0,1
im_GenFex_06190.jpg,31,51,37,62,0,1
im_GenFex_06191.jpg,87,78,107,96,0,1
im_GenFex_06192.jpg,187,235,232,293,0,1
im_GenFex_06193.jpg,73,89,90,110,0,1
im_GenFex_06194.jpg,290,269,361,335,0,1
im_GenFex_06195.jpg,96,113,119,140,0,1
im_GenFex_06196.jpg,24,47,29,57,1,1
im_GenFex_06197.jpg,48,51,59,62,0,1
im_GenFex_06198.jpg,267,351,333,438,0,1
im_GenFex_06199.jpg,35,52,42,64,0,1
im_GenFex_06200.jpg,52,55,64,68,0,1
im_GenFex_06201.jpg,41,47,50,57,0,1
im_GenFex_06202.jpg,155,131,193,162,0,1
im_GenFex_06203.jpg,142,184,176,229,1,1
im_GenFex_06204.jpg,102,105,126,130,1,1
im_GenFex_06205.jpg,63,69,77,85,0,1
im_GenFex_06206.jpg,115,182,143,226,0,1
im_GenFex_06207.jpg,43,46,52,56,1,1
im_GenFex_06208.jpg,63,89,78,110,1,1
im_GenFex_06209.jpg,69,83,85,103,0,1
im_GenFex_06210.jpg,49,73,60,90,0,1
im_GenFex_06211.jpg,52,63,64,78,0,1
im_GenFex_06212.jpg,188,227,234,283,0,1
im_GenFex_06213.jpg,39,51,48,62,1,1
im_GenFex_06214.jpg,122,140,151,174,1,1
im_GenFex_06215.jpg,78,87,96,107,0,1
im_GenFex_06216.jpg,107,128,132,159,0,1
im_GenFex_06217.jpg,54,75,66,92,0,1
im_GenFex_06218.jpg,166,170,206,211,0,1
im_GenFex_06219.jpg,45,51,55,62,0,1
im_GenFex_06220.jpg,290,450,361,561,1,1
im_GenFex_06221.jpg,136,175,169,218,1,1
im_GenFex_06222.jpg,43,56,53,69,0,1
im_GenFex_06223.jpg,83,91,102,113,1,1
im_GenFex_06224.jpg,211,252,263,314,1,1
im_GenFex_06225.jpg,155,205,193,255,0,1
im_GenFex_06226.jpg,37,38,45,46,1,1
im_GenFex_06227.jpg,40,53,49,65,0,1
im_GenFex_06228.jpg,189,237,235,295,1,1
im_GenFex_06229.jpg,58,63,71,78,1,1
im_GenFex_06230.jpg,59,75,72,93,1,1
im_GenFex_06231.jpg,183,203,227,252,1,1
im_GenFex_06232.jpg,89,103,110,127,0,1
im_GenFex_06233.jpg,39,55,48,68,0,1
im_GenFex_06234.jpg,41,47,50,57,0,1
im_GenFex_06235.jpg,39,38,47,46,1,1
im_GenFex_06236.jpg,136,168,169,209,1,1
im_GenFex_06237.jpg,196,295,244,368,0,1
im_GenFex_06238.jpg,144,167,179,207,1,1
im_GenFex_06239.jpg,67,99,83,123,1,1
im_GenFex_06240.jpg,23,41,28,50,0,1
im_GenFex_06241.jpg,544,570,679,711,1,1
im_GenFex_06242.jpg,365,364,455,454,0,1
im_GenFex_06243.jpg,46,59,56,72,0,1
im_GenFex_06244.jpg,53,134,65,166,0,1
im_GenFex_06245.jpg,159,247,197,308,0,1
im_GenFex_06246.jpg,183,179,228,222,0,1
im_GenFex_06247.jpg,158,260,196,324,0,1
im_GenFex_06248.jpg,107,123,133,152,0,1
im_GenFex_06249.jpg,131,178,162,221,1,1
im_GenFex_06250.jpg,59,59,73,73,0,1
im_GenFex_06251.jpg,232,337,289,420,1,1
im_GenFex_06252.jpg,69,74,85,91,0,1
im_GenFex_06253.jpg,53,80,65,99,0,1
im_GenFex_06254.jpg,274,162,341,201,1,1
im_GenFex_06255.jpg,27,50,32,61,1,1
im_GenFex_06256.jpg,42,54,51,66,1,1
im_GenFex_06257.jpg,71,67,87,82,0,1
im_GenFex_06258.jpg,243,314,302,391,1,1
im_GenFex_06259.jpg,73,91,90,113,0,1
im_GenFex_06260.jpg,63,131,77,162,0,1
im_GenFex_06261.jpg,67,85,82,105,0,1
im_GenFex_06262.jpg,57,66,70,81,0,1
im_GenFex_06263.jpg,46,62,56,76,0,1
im_GenFex_06264.jpg,66,71,81,88,1,1
im_GenFex_06265.jpg,35,48,42,59,0,1
im_GenFex_06266.jpg,50,63,61,77,0,1
im_GenFex_06267.jpg,32,37,39,45,1,1
im_GenFex_06268.jpg,183,196,227,244,1,1
im_GenFex_06269.jpg,363,430,452,536,0,1
